id,name,original_title,original_language,overview,genres,status,popularity,adult,vote_average,vote_count,release_date
306,"12 Angry Men","12 Angry Men",en,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.","[{""id"":18,""name"":""Drama""}]",Released,79.807,,8.546,8630,1957-04-10
307,"Lisbon Story","Lisbon Story",en,"Lisbon Story is Wim Wenders' homage to Lisbon and films. A sound engineer obtains a mysterious postcard from a friend who at the moment is filming a film in Lisbon. He sets out across Europe to find him and help him.","[{""id"":18,""name"":""Drama""},{""id"":10402,""name"":""Music""}]",Released,9.43,,7.176,111,1994-12-16
308,"A Fistful of Dollars","Per un pugno di dollari",it,"The Man With No Name enters the Mexican village of San Miguel in the midst of a power struggle among the three Rojo brothers and sheriff John Baxter. When a regiment of Mexican soldiers bearing gold intended to pay for new weapons is waylaid by the Rojo brothers, the stranger inserts himself into the middle of the long-simmering battle, selling false information to both sides for his own benefit.","[{""id"":37,""name"":""Western""}]",Released,24.108,,7.84,4193,1964-09-12
309,Chocolat,Chocolat,en,"A mother and daughter move to a small French town where they open a chocolate shop. The town, religious and morally strict, is against them, as they represent free-thinking and indulgence. When a group of gypsies arrive by riverboat, the Mayor's prejudices lead to a crisis.","[{""id"":35,""name"":""Comedy""},{""id"":18,""name"":""Drama""},{""id"":10749,""name"":""Romance""}]",Released,18.991,,6.971,3254,2000-12-22
310,"Kill Bill: Vol. 2","Kill Bill: Vol. 2",en,"The Bride unwaveringly continues on her roaring rampage of revenge against the band of assassins who had tried to kill her and her unborn child. She visits each of her former associates one-by-one, checking off the victims on her Death List Five until there's nothing left to do … but kill Bill.","[{""id"":28,""name"":""Action""},{""id"":80,""name"":""Crime""},{""id"":53,""name"":""Thriller""}]",Released,37.993,,7.878,13815,2004-04-16
311,"AVP: Alien vs. Predator","AVP: Alien vs. Predator",en,"When scientists discover something near Antarctica that appears to be a buried Pyramid, they send a research team out to investigate. Little do they know that they are about to step into a hunting ground where Aliens are grown as sport for the Predator race.","[{""id"":12,""name"":""Adventure""},{""id"":878,""name"":""Science Fiction""},{""id"":28,""name"":""Action""},{""id"":27,""name"":""Horror""}]",Released,33.694,,5.923,4399,2004-08-12
312,"Who's Afraid of Virginia Woolf?","Who's Afraid of Virginia Woolf?",en,"A history professor and his wife entertain a young couple who are new to the university's faculty. As the drinks flow, secrets come to light, and the middle-aged couple unload onto their guests the full force of the bitterness, dysfunction, and animosity that defines their marriage.","[{""id"":18,""name"":""Drama""}]",Released,13.583,,7.7,807,1966-06-22
313,"French Kiss","French Kiss",en,"After her fiancee admits to infidelity while on a business trip in France, a woman attempts to get her lover back and marry him by traveling to Paris despite her crippling fear of flying.  On the way she unwittingly smuggles something of value that has a charming crook chasing her across France as she chases after her future husband.","[{""id"":35,""name"":""Comedy""},{""id"":10749,""name"":""Romance""}]",Released,12.175,,6.437,716,1995-05-05
314,Capote,Capote,en,"A biopic of writer Truman Capote and his assignment for The New Yorker to write the non-fiction book ""In Cold Blood"".","[{""id"":80,""name"":""Crime""},{""id"":18,""name"":""Drama""}]",Released,9.295,,7,1428,2005-09-30
315,"Things to Do in Denver When You're Dead","Things to Do in Denver When You're Dead",en,"Five different criminals face imminent death after botching a job quite badly.","[{""id"":18,""name"":""Drama""},{""id"":80,""name"":""Crime""}]",Released,11.281,,6.473,371,1995-12-01
316,"Garden State","Garden State",en,"Andrew returns to his hometown for the funeral of his mother, a journey that reconnects him with past friends. The trip coincides with his decision to stop taking his powerful antidepressants. A chance meeting with Sam - a girl also suffering from various maladies - opens up the possibility of rekindling emotional attachments, confronting his psychologist father, and perhaps beginning a new life.","[{""id"":35,""name"":""Comedy""},{""id"":18,""name"":""Drama""},{""id"":10749,""name"":""Romance""}]",Released,10.75,,7.086,1816,2004-07-28
317,"Basic Instinct","Basic Instinct",en,"Catherine, a novelist with an insatiable sexual appetite, becomes a prime suspect when her boyfriend is brutally murdered -- a crime she had described in her latest story.","[{""id"":53,""name"":""Thriller""},{""id"":9648,""name"":""Mystery""}]",Released,40.259,,6.919,3830,1992-03-20
318,"Driving Miss Daisy","Driving Miss Daisy",en,"The story of an old Jewish widow named Daisy Werthan and her relationship with her black chauffeur, Hoke. From an initial mere work relationship grew in 25 years a strong friendship between the two very different characters, in a time when those types of relationships were shunned.","[{""id"":18,""name"":""Drama""}]",Released,15.77,,7.239,1576,1989-12-13
319,"The Straight Story","The Straight Story",en,"A retired farmer and widower in his 70s, Alvin Straight learns one day that his distant brother Lyle has suffered a stroke and may not recover. Alvin is determined to make things right with Lyle while he still can, but his brother lives in Wisconsin, while Alvin is stuck in Iowa with no car and no driver's license. Then he hits on the idea of making the trip on his old lawnmower, thus beginning a picturesque and at times deeply spiritual odyssey.","[{""id"":18,""name"":""Drama""}]",Released,10.996,,7.718,1516,1999-10-15
320,"La Strada","La strada",it,"When Gelsomina, a naïve young woman, is purchased from her impoverished mother by brutish circus strongman Zampanò to be his wife and partner, she loyally endures her husband's coldness and abuse as they travel the Italian countryside performing together. Soon Zampanò must deal with his jealousy and conflicted feelings about Gelsomina when she finds a kindred spirit in Il Matto, the carefree circus fool, and contemplates leaving Zampanò.","[{""id"":18,""name"":""Drama""}]",Released,12.104,,7.913,1053,1954-09-23
321,"La Haine","La Haine",fr,"After a chaotic night of rioting in a marginal suburb of Paris, three young friends, Vinz, Hubert and Saïd, wander around unoccupied waiting for news about the state of health of a mutual friend who has been seriously injured when confronting the police.","[{""id"":18,""name"":""Drama""}]",Released,30.537,,8.093,4017,1995-05-31
322,"Short Sharp Shock","Kurz und schmerzlos",de,"Gabriel, Bobby and Costa are old friends from Altona, a multicultural hood in Hamburg. Just out of prison, Gabriel wants to turn his back on crime, but the others continue to operate as petty criminals. Friendships are tested as the trio navigate a dark world of mafia bosses and deals gone wrong.","[{""id"":80,""name"":""Crime""},{""id"":18,""name"":""Drama""}]",Released,6.426,,6.7,69,1998-10-15
323,"Snow White and the Seven Dwarfs","Snow White and the Seven Dwarfs",en,"A beautiful girl, Snow White, takes refuge in the forest in the house of seven dwarfs to hide from her stepmother, the wicked Queen. The Queen is jealous because she wants to be known as ""the fairest in the land,"" and Snow White's beauty surpasses her own.","[{""id"":14,""name"":""Fantasy""},{""id"":16,""name"":""Animation""},{""id"":10751,""name"":""Family""}]",Released,67.364,,7.123,7361,1938-01-14
324,"The English Patient","The English Patient",en,"In the 1930s, Count Almásy is a Hungarian map maker employed by the Royal Geographical Society to chart the vast expanses of the Sahara Desert along with several other prominent explorers. As World War II unfolds, Almásy enters into a world of love, betrayal, and politics.","[{""id"":18,""name"":""Drama""},{""id"":10749,""name"":""Romance""},{""id"":10752,""name"":""War""}]",Released,19.791,,7.2,2168,1996-11-14
325,"Summer in Berlin","Sommer vorm Balkon",de,"When you read the title ‘Summer on the Balcony’ you probably think it will be a light Berlin summer comedy but it’s not. This film is an intimate study of two women friends who come to each other because of troubles with everyday life and with men and thus try to enjoy a life based on their ideas.","[{""id"":35,""name"":""Comedy""},{""id"":18,""name"":""Drama""}]",Released,4.121,,6.5,45,2005-09-09
326,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",en,"Siblings Lucy, Edmund, Susan and Peter step through a magical wardrobe and find the land of Narnia. There, they discover a charming, once peaceful kingdom that has been plunged into eternal winter by the evil White Witch, Jadis. Aided by the wise and magnificent lion, Aslan, the children lead Narnia into a spectacular, climactic battle to be free of the Witch's glacial powers forever.","[{""id"":12,""name"":""Adventure""},{""id"":10751,""name"":""Family""},{""id"":14,""name"":""Fantasy""}]",Released,160.41,,7.134,10569,2005-12-07
327,"Batman Forever","Batman Forever",en,"Batman must battle a disfigured district attorney and a disgruntled former employee with help from an amorous psychologist and a young circus acrobat.","[{""id"":28,""name"":""Action""},{""id"":80,""name"":""Crime""},{""id"":14,""name"":""Fantasy""}]",Released,29.671,,5.434,5119,1995-06-16
328,"Batman & Robin","Batman & Robin",en,"Batman and Robin deal with relationship issues while preventing Mr. Freeze and Poison Ivy from attacking Gotham City.","[{""id"":28,""name"":""Action""},{""id"":878,""name"":""Science Fiction""},{""id"":12,""name"":""Adventure""}]",Released,29.669,,4.4,4964,1997-06-20
329,"About the Looking for and the Finding of Love","Vom Suchen und Finden der Liebe",de,"Director helmut Dietls and Patric Susskinds illustrate a legendary story of two lovers who cant keep themselves away from death.","[{""id"":35,""name"":""Comedy""},{""id"":10749,""name"":""Romance""},{""id"":18,""name"":""Drama""},{""id"":10402,""name"":""Music""}]",Released,5.216,,4.4,15,2005-01-27
330,"The Life Aquatic with Steve Zissou","The Life Aquatic with Steve Zissou",en,"Renowned oceanographer Steve Zissou has sworn vengeance upon the rare shark that devoured a member of his crew. In addition to his regular team, he is joined on his boat by Ned, a man who believes Zissou to be his father, and Jane, a journalist pregnant by a married man. They travel the sea, all too often running into pirates and, perhaps more traumatically, various figures from Zissou's past, including his estranged wife, Eleanor.","[{""id"":12,""name"":""Adventure""},{""id"":35,""name"":""Comedy""},{""id"":18,""name"":""Drama""}]",Released,13.488,,7.096,2847,2004-12-10
331,8½,8½,it,"Guido Anselmi, a film director, finds himself creatively barren at the peak of his career. Urged by his doctors to rest, Anselmi heads for a luxurious resort, but a sorry group gathers—his producer, staff, actors, wife, mistress, and relatives—each one begging him to get on with the show. In retreat from their dependency, he fantasizes about past women and dreams of his childhood.","[{""id"":18,""name"":""Drama""}]",Released,16.648,,8.155,2260,1963-02-14
332,"The Pianist","The Pianist",en,"The true story of pianist Władysław Szpilman's experiences in Warsaw during the Nazi occupation. When the Jews of the city find themselves forced into a ghetto, Szpilman finds work playing in a café; and when his family is deported in 1942, he stays behind, works for a while as a laborer, and eventually goes into hiding in the ruins of the war-torn city.","[{""id"":18,""name"":""Drama""},{""id"":10752,""name"":""War""}]",Released,54.905,,8.38,9147,2002-09-17
333,"Schindler's List","Schindler's List",en,"The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.","[{""id"":18,""name"":""Drama""},{""id"":36,""name"":""History""},{""id"":10752,""name"":""War""}]",Released,93.813,,8.565,15828,1993-12-15
334,"Ice Age","Ice Age",en,"With the impending ice age almost upon them, a mismatched trio of prehistoric critters – Manny the woolly mammoth, Diego the saber-toothed tiger and Sid the giant sloth – find an orphaned infant and decide to return it to its human parents. Along the way, the unlikely allies become friends but, when enemies attack, their quest takes on far nobler aims.","[{""id"":16,""name"":""Animation""},{""id"":35,""name"":""Comedy""},{""id"":10751,""name"":""Family""},{""id"":12,""name"":""Adventure""}]",Released,117.438,,7.363,13202,2002-03-10
335,Vertigo,Vertigo,en,"A retired San Francisco detective suffering from acrophobia investigates the strange activities of an old friend's wife, all the while becoming dangerously obsessed with her.","[{""id"":9648,""name"":""Mystery""},{""id"":10749,""name"":""Romance""},{""id"":53,""name"":""Thriller""}]",Released,35.101,,8.2,5712,1958-05-28
336,"Mon Oncle","Mon oncle",fr,"Genial, bumbling Monsieur Hulot loves his top-floor apartment in a grimy corner of the city, and cannot fathom why his sister's family has moved to the suburbs. Their house is an ultra-modern nightmare, which Hulot only visits for the sake of stealing away his rambunctious young nephew. Hulot's sister, however, wants to win him over to her new way of life, and conspires to set him up with a wife and job.","[{""id"":35,""name"":""Comedy""}]",Released,11.631,,7.39,538,1958-05-10
337,"Summer '04","Sommer '04",de,"Sommer ’04 is a character study of a family on vacation. German director Stefan Krohmer examines the emotional abyss and problems behind the seemingly nice facade of an intact family as they experience guilt, love and jealousy.","[{""id"":18,""name"":""Drama""},{""id"":10749,""name"":""Romance""}]",Released,3.454,,6,21,2006-10-11
338,"The Good, the Bad and the Ugly","Il buono, il brutto, il cattivo",it,"While the Civil War rages on between the Union and the Confederacy, three men – a quiet loner, a ruthless hitman, and a Mexican bandit – comb the American Southwest in search of a strongbox containing $200,000 in stolen gold.","[{""id"":37,""name"":""Western""}]",Released,84.317,,8.463,8595,1966-12-22
339,"One, Two, Three","One, Two, Three",en,"C.R. MacNamara is a managing director for Coca Cola in West Berlin during the Cold War, just before the Wall is put up. When Scarlett, the rebellious daughter of his boss, comes to West Berlin, MacNamara has to look after her, but this turns out to be a difficult task when she reveals to be married to a communist.","[{""id"":35,""name"":""Comedy""}]",Released,8.363,,7.525,363,1961-12-15
340,Cube,Cube,en,"A group of strangers find themselves trapped in a maze-like prison. It soon becomes clear that each of them possesses the peculiar skills necessary to escape, if they don't wind up dead first.","[{""id"":53,""name"":""Thriller""},{""id"":878,""name"":""Science Fiction""},{""id"":9648,""name"":""Mystery""}]",Released,17.73,,6.805,4714,1997-12-10
341,"Mary Poppins","Mary Poppins",en,"Mr Banks is looking for a nanny for his two mischievous children and comes across Mary Poppins, an angelic nanny. She not only brings a change in their lives but also spreads happiness.","[{""id"":35,""name"":""Comedy""},{""id"":10751,""name"":""Family""},{""id"":14,""name"":""Fantasy""}]",Released,37.427,,7.6,4638,1964-12-17
342,"Tough Enough",Knallhart,de,"From the youth directed novel of the same name by Greogor Tressnow comes a film by Detlev Buck that is a realistic portrait of life in the section of Berlin called Neukölln. It’s about power and weakness, delinquents and victims, and the difficulties a 15-year-old faces in a poor and criminal environment.","[{""id"":18,""name"":""Drama""},{""id"":53,""name"":""Thriller""}]",Released,7.877,,6.9,49,2006-03-09
343,"The Day After Tomorrow","The Day After Tomorrow",en,"After paleoclimatologist Jack Hall is largely ignored by UN officials when presenting his environmental concerns about the beginning of a new Ice Age, his research proves true when a superstorm develops, setting off catastrophic natural disasters throughout the world. Trying to get to his son, Sam, who is trapped in New York City with his friend Laura and others, Jack and his crew must travel to get to Sam before it's too late.","[{""id"":28,""name"":""Action""},{""id"":12,""name"":""Adventure""},{""id"":878,""name"":""Science Fiction""},{""id"":53,""name"":""Thriller""}]",Released,43.173,,6.536,8050,2004-05-26
344,"Maria Full of Grace","María, llena eres de gracia",es,"A pregnant Colombian teenager becomes a drug mule to make some desperately needed money for her family.","[{""id"":18,""name"":""Drama""},{""id"":53,""name"":""Thriller""},{""id"":80,""name"":""Crime""}]",Released,8.446,,7.211,383,2004-01-18
345,"Cube 2: Hypercube","Cube 2: Hypercube",en,"Eight strangers awaken with no memory, in a puzzling cube-shaped room where the laws of physics do not always apply.","[{""id"":53,""name"":""Thriller""},{""id"":878,""name"":""Science Fiction""},{""id"":9648,""name"":""Mystery""}]",Released,11.972,,5.493,1435,2002-04-15
346,"Cube Zero","Cube Zero",en,"A young programmer whose job is to watch over the reality-warping Cube defies orders to rescue an innocent mother trapped in one of its rooms.","[{""id"":9648,""name"":""Mystery""},{""id"":878,""name"":""Science Fiction""},{""id"":53,""name"":""Thriller""}]",Released,15.41,,5.665,1026,2004-10-10
347,"La Dolce Vita","La dolce vita",it,"Episodic journey of journalist Marcello who struggles to find his place in the world, torn between the allure of Rome's elite social scene and the stifling domesticity offered by his girlfriend, all the while searching for a way to become a serious writer.","[{""id"":35,""name"":""Comedy""},{""id"":18,""name"":""Drama""}]",Released,26.591,,8.09,1843,1960-02-05
348,"Aliens vs Predator: Requiem","Aliens vs Predator: Requiem",en,"After a horrifying PredAlien crash-lands near a small Colorado town, killing everyone it encounters and producing countless Alien offspring, a lone Predator arrives to ""clean up"" the infestation.","[{""id"":14,""name"":""Fantasy""},{""id"":28,""name"":""Action""},{""id"":878,""name"":""Science Fiction""},{""id"":53,""name"":""Thriller""},{""id"":27,""name"":""Horror""}]",Released,53.052,,5.184,2892,2007-12-25
349,"Human Nature","Human Nature",en,"A philosophical burlesque, Human Nature follows the ups and downs of an obsessive scientist, a female naturalist, and the man they discover, born and raised in the wild. As scientist Nathan trains the wild man, Puff, in the ways of the world - starting with table manners - Nathan's lover Lila fights to preserve the man's simian past, which represents a freedom enviable to most.","[{""id"":18,""name"":""Drama""},{""id"":35,""name"":""Comedy""}]",Released,11.248,,5.982,254,2001-09-12
350,"Popular Music","Populärmusik från Vittula",sv,"Matti and Niila, growing up in the mid-sixties in the harsh and conservative environment of a Finnish-speaking part of Tornedalen in Swedish Laponia, close to the Finnish border. Their big dream is to become rock stars. In the present the now grown-up Matti feels guilt for the death of his drug-addicted rock star friend Niila.","[{""id"":35,""name"":""Comedy""},{""id"":18,""name"":""Drama""}]",Released,5.335,,6.273,55,2004-10-01
351,Caché,Caché,fr,"George, host of a television show focusing on literature, receives videos shot on the sly that feature his family, along with disturbing drawings that are difficult to interpret. He has no idea who has made and sent him the videos. Progressively, the contents of the videos become more personal, indicating that the sender has known George for a long time.","[{""id"":9648,""name"":""Mystery""},{""id"":18,""name"":""Drama""},{""id"":53,""name"":""Thriller""}]",Released,17.118,,7.05,1085,2005-10-05
352,"Distant Lights",Lichter,de,"Lichter is an episodic tale from Hans-Christian Schmid about the life on the border between Germany and Poland. The film sheds light on the everyday stories of escape and desperateness.","[{""id"":18,""name"":""Drama""}]",Released,3.003,,7.4,29,2003-02-11
353,"Leaving Las Vegas","Leaving Las Vegas",en,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.","[{""id"":18,""name"":""Drama""},{""id"":10749,""name"":""Romance""}]",Released,23.895,,7.269,1419,1995-10-27
354,"The Idiots",Idioterne,da,"With his first Dogma-95 film director Lars von Trier opens up a completely new film platform. With a mix of home-video and documentary styles the film tells the story of a group of young people who have decided to get to know their “inner-idiots” and thus not only facing and breaking their outer appearance but also their inner.","[{""id"":35,""name"":""Comedy""},{""id"":18,""name"":""Drama""}]",Released,15.592,,6.456,568,1998-04-28
355,"A Beautiful Mind","A Beautiful Mind",en,"Brilliant mathematician, John Nash, is on the brink of international acclaim when he becomes entangled in a mysterious conspiracy.","[{""id"":18,""name"":""Drama""},{""id"":10749,""name"":""Romance""}]",Released,35.699,,7.858,10136,2001-12-14
356,"Romeo + Juliet","Romeo + Juliet",en,"In director Baz Luhrmann's contemporary take on William Shakespeare's classic tragedy, the Montagues and Capulets have moved their ongoing feud to the sweltering suburb of Verona Beach, where Romeo and Juliet fall in love and secretly wed. Though the film is visually modern, the bard's dialogue remains.","[{""id"":18,""name"":""Drama""},{""id"":10749,""name"":""Romance""}]",Released,29.102,,6.8,4957,1996-11-01
357,"Bend It Like Beckham","Bend It Like Beckham",en,"Jess Bhamra, the daughter of a strict Indian couple in London, is not permitted to play organized soccer, even though she is 18. When Jess is playing for fun one day, her impressive skills are seen by Jules Paxton, who then convinces Jess to play for her semi-pro team. Jess uses elaborate excuses to hide her matches from her family while also dealing with her romantic feelings for her coach, Joe.","[{""id"":35,""name"":""Comedy""},{""id"":18,""name"":""Drama""},{""id"":10749,""name"":""Romance""}]",Released,18.154,,6.315,1875,2002-04-11
358,Sissi,Sissi,de,"The young Bavarian princess Elisabeth, who all call Sissi, goes with her mother and older sister Néné to Austria where Néné will be wed to an emperor named Franz Joseph, Yet unexpectedly Franz runs into Sissi while out fishing and they fall in love.","[{""id"":35,""name"":""Comedy""},{""id"":18,""name"":""Drama""},{""id"":10749,""name"":""Romance""}]",Released,17.133,,7.376,467,1955-12-22
359,"Sissi: The Young Empress","Sissi - Die junge Kaiserin",de,"Sissi is now the empress of Austria and attempts to learn etiquette. While she is busy being empress she also has to deal with her difficult new mother-in-law, while the arch-duchess Sophie is trying to tell the emperor how to rule and also Sissi how to be a mother.","[{""id"":18,""name"":""Drama""},{""id"":35,""name"":""Comedy""},{""id"":10749,""name"":""Romance""}]",Released,17.153,,7.17,338,1956-12-01
360,"Sissi: The Fateful Years of an Empress","Sissi - Schicksalsjahre einer Kaiserin",de,"After a wonderful time in Hungary Sissi falls extremely ill and must retreat to a Mediterranean climate to rest. The young empress’ mother takes her from Austria to recover in Madeira.","[{""id"":10749,""name"":""Romance""},{""id"":18,""name"":""Drama""},{""id"":36,""name"":""History""}]",Released,15.898,,7.202,330,1957-12-18
361,"Go for Zucker","Alles auf Zucker!",de,"Germany director Dani Levy filmed this comedy about Jewish life in today’s Germany along side the familiar east-west conflict. With it great success this film is a joyful comedy of humor and knowledge.","[{""id"":35,""name"":""Comedy""}]",Released,3.95,,6.3,50,2004-12-31
362,"Erin Brockovich","Erin Brockovich",en,"A twice-divorced mother of three who sees an injustice, takes on the bad guy and wins -- with a little help from her push-up bra. Erin goes to work for an attorney and comes across medical records describing illnesses clustered in one nearby town. She starts investigating and soon exposes a monumental cover-up.","[{""id"":18,""name"":""Drama""}]",Released,26.977,,7.4,3156,2000-03-17
363,"As It Is in Heaven","Så som i himmelen",sv,"A musical romantic tragedy about a famous composer who moves back to his small hometown after having had heart troubles. His search for a simple everyday life leads him into teaching the local church choir which is not easily accepted by the town yet the choir builds a great love for their teacher.","[{""id"":10749,""name"":""Romance""},{""id"":18,""name"":""Drama""},{""id"":35,""name"":""Comedy""},{""id"":10402,""name"":""Music""}]",Released,10.782,,7.196,161,2004-09-03
364,"36 Fillette","36 Fillette",fr,"Lili, a pouty and voluptuous 14-year-old, is caravan camping with her family in Biarritz. She's self-aware and holds her own in a café conversation with a concert pianist she meets, but she has a wild streak and she's testing her powers over men, finding that she doesn't always control her moods or actions, and she's impatient with being a virgin. She sets off with her brother to a disco, latching onto an aging playboy who is himself hot and cold to her. She is ambivalent about losing her virginity that night, willing the next, and determined by the third.","[{""id"":18,""name"":""Drama""},{""id"":10749,""name"":""Romance""}]",Released,5.155,,5,31,1988-03-03
365,Klute,Klute,en,"A high-priced call girl is forced to depend on a reluctant private eye when she is stalked by a psychopath.","[{""id"":53,""name"":""Thriller""},{""id"":9648,""name"":""Mystery""},{""id"":80,""name"":""Crime""}]",Released,14.449,,6.788,434,1971-06-23
366,"The Hole","The Hole",en,"Four teenagers at a British private school secretly uncover and explore the depths of a sealed underground hole created decades ago as a possible bomb shelter.","[{""id"":80,""name"":""Crime""},{""id"":18,""name"":""Drama""},{""id"":27,""name"":""Horror""},{""id"":53,""name"":""Thriller""}]",Released,10.719,,6.218,809,2001-04-20
367,"My Own Private Idaho","My Own Private Idaho",en,"In this loose adaptation of Shakespeare's ""Henry IV,"" Mike Waters is a hustler afflicted with narcolepsy. Scott Favor is the rebellious son of a mayor. Together, the two travel from Portland, Oregon to Idaho and finally to the coast of Italy in a quest to find Mike's estranged mother. Along the way they turn tricks for money and drugs, eventually attracting the attention of a wealthy benefactor and sexual deviant.","[{""id"":18,""name"":""Drama""}]",Released,15.442,,7.057,1115,1991-02-01
368,"Stranger Than Paradise","Stranger Than Paradise",en,"A Hungarian immigrant, his friend, and his cousin go on an unpredictable adventure across America.","[{""id"":35,""name"":""Comedy""},{""id"":18,""name"":""Drama""}]",Released,9.887,,7.2,527,1984-10-01
369,"21 Grams","21 Grams",en,"Paul Rivers, an ailing mathematician lovelessly married to an English émigré; Christina Peck, an upper-middle-class suburban housewife and mother of two girls; and Jack Jordan, a born-again ex-con, are brought together by a terrible accident that changes their lives.","[{""id"":18,""name"":""Drama""},{""id"":80,""name"":""Crime""},{""id"":53,""name"":""Thriller""}]",Released,12.938,,7.33,3086,2003-09-06
370,Bandyta,Bandyta,en,"Shipped off to a Romanian orphanage to finish his sentence, a British criminal finds romance but also discovers corruption inside the facility.","[{""id"":18,""name"":""Drama""}]",Released,4.012,,5.8,22,1997-11-07
371,Pi,Pi,en,"A mathematical genius discovers a link between numbers and reality, and thus believes he can predict the future.","[{""id"":9648,""name"":""Mystery""},{""id"":18,""name"":""Drama""},{""id"":53,""name"":""Thriller""}]",Released,13.371,,7.113,2205,1998-07-10
372,"Bonnie and Clyde","Bonnie and Clyde",en,"In the 1930s, bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks.","[{""id"":80,""name"":""Crime""},{""id"":18,""name"":""Drama""}]",Released,23.04,,7.494,1595,1967-08-14
373,"Drugstore Cowboy","Drugstore Cowboy",en,"Portland, Oregon, 1971. Bob Hughes is the charismatic leader of a peculiar quartet, formed by his wife, Dianne, and another couple, Rick and Nadine, who skillfully steal from drugstores and hospital medicine cabinets in order to appease their insatiable need for drugs. But neither fun nor luck last forever.","[{""id"":18,""name"":""Drama""},{""id"":80,""name"":""Crime""}]",Released,8.959,,7.1,530,1989-10-20
374,Shaft,Shaft,en,"New York police detective John Shaft arrests Walter Wade Jr. for a racially motivated slaying. But the only eyewitness disappears, and Wade jumps bail for Switzerland. Two years later Wade returns to face trial, confident his money and influence will get him acquitted -- especially since he's paid a drug kingpin to kill the witness.","[{""id"":28,""name"":""Action""},{""id"":12,""name"":""Adventure""},{""id"":80,""name"":""Crime""},{""id"":53,""name"":""Thriller""}]",Released,19.224,,6.016,1254,2000-06-15
375,"Monsoon Wedding","Monsoon Wedding",hi,"As the romantic monsoon rains loom, the extended Verma family reunites from around the globe for a last-minute arranged marriage in New Delhi. This film traces five intersecting stories, each navigating different aspects of love as they cross boundaries of class, continent and morality.","[{""id"":35,""name"":""Comedy""},{""id"":18,""name"":""Drama""},{""id"":10749,""name"":""Romance""}]",Released,7.66,,6.783,196,2001-08-30
376,"7 Virgins","7 vírgenes",es,"Tano is 16-years-old and is already sitting in jail. In 48 hours he’s a free man and off to the wedding of his brother. In the two days he recounts his neighborhood in a section of Sevilla.","[{""id"":18,""name"":""Drama""}]",Released,7.073,,5.9,64,2005-10-14
377,Shaft,Shaft,en,"Cool black private eye John Shaft is hired by a crime lord to find and retrieve his kidnapped daughter.","[{""id"":28,""name"":""Action""},{""id"":80,""name"":""Crime""},{""id"":53,""name"":""Thriller""}]",Released,18.933,,6.425,358,1971-06-25
378,"Wild at Heart","Wild at Heart",en,"After serving prison time for a self-defense killing, Sailor Ripley reunites with girlfriend Lula Fortune. Lula's mother, Marietta, desperate to keep them apart, hires a hitman to kill Sailor. But he finds a whole new set of troubles when he and Bobby Peru, an old buddy who's also out to get Sailor, try to rob a store. When Sailor lands in jail yet again, the young lovers appear further than ever from the shared life they covet.","[{""id"":80,""name"":""Crime""},{""id"":53,""name"":""Thriller""},{""id"":10749,""name"":""Romance""}]",Released,12.56,,7.011,1600,1990-08-17
379,"The African Queen","The African Queen",en,"At the start of the First World War, in the middle of Africa’s nowhere, a gin soaked riverboat captain is persuaded by a strong-willed missionary to go down river and face-off a German warship.","[{""id"":10749,""name"":""Romance""},{""id"":12,""name"":""Adventure""}]",Released,11.649,,7.346,942,1952-01-07
380,"Good Will Hunting","Good Will Hunting",en,"When professors discover that an aimless janitor is also a math genius, a therapist helps the young man confront the demons that are holding him back.","[{""id"":18,""name"":""Drama""}]",Released,84.688,,8.158,12310,1997-12-05
381,"The Seventh Seal","Det sjunde inseglet",sv,"When disillusioned Swedish knight Antonius Block returns home from the Crusades to find his country in the grips of the Black Death, he challenges Death to a chess match for his life. Tormented by the belief that God does not exist, Block sets off on a journey, meeting up with traveling players Jof and his wife, Mia, and becoming determined to evade Death long enough to commit one redemptive act while he still lives.","[{""id"":14,""name"":""Fantasy""},{""id"":18,""name"":""Drama""}]",Released,20.547,,8.188,2969,1957-02-16
382,"Ghettokids - Brüder ohne Heimat","Ghettokids - Brüder ohne Heimat",de,"Two trouble-causing brothers, who in the second generation after World War II Germany live, are in the center of this German made for TV movie. The movie makes a subject out of their everyday lives and the helpless attempt for them to build a normal life.","[{""id"":18,""name"":""Drama""},{""id"":10770,""name"":""TV Movie""}]",Released,0.81,,8,6,2002-07-04
383,"Being John Malkovich","Being John Malkovich",en,"One day at work, unsuccessful puppeteer Craig finds a portal into the head of actor John Malkovich. The portal soon becomes a passion for anybody who enters its mad and controlling world of overtaking another human body.","[{""id"":35,""name"":""Comedy""},{""id"":18,""name"":""Drama""},{""id"":14,""name"":""Fantasy""}]",Released,20.654,,7.414,4318,1999-10-29
