id,name,original_title,original_language,overview,genres,status,popularity,adult,vote_average,vote_count,release_date
1604,"Jakob the Liar","Jakob the Liar",en,"In 1944 Poland, a Jewish shop keeper named Jakob is summoned to ghetto headquarters after being caught out after curfew. While waiting for the German Kommondant, Jakob overhears a German radio broadcast about Russian troop movements. Returned to the ghetto, the shopkeeper shares his information with a friend and then rumors fly that there is a secret radio within the ghetto.","[{""id"":35,""name"":""Comedy""},{""id"":18,""name"":""Drama""},{""id"":36,""name"":""History""}]",Released,9.996,,6.687,363,1999-09-16
1605,"Jacob's Ladder","Jacob's Ladder",en,"After returning home from the Vietnam War, veteran Jacob Singer struggles to maintain his sanity. Plagued by hallucinations and flashbacks, Singer rapidly falls apart as the world and people around him morph and twist into disturbing images. His girlfriend, Jezzie, and ex-wife, Sarah, try to help, but to little avail. Even Singer's chiropractor friend, Louis, fails to reach him as he descends into madness.","[{""id"":18,""name"":""Drama""},{""id"":9648,""name"":""Mystery""},{""id"":27,""name"":""Horror""}]",Released,20.158,,7.354,1626,1990-11-02
1606,Clerks,Clerks,en,"Convenience and video store clerks Dante and Randal are sharp-witted, potty-mouthed and bored out of their minds. So in between needling customers, the counter jockeys play hockey on the roof, visit a funeral home and deal with their love lives.","[{""id"":35,""name"":""Comedy""}]",Released,12.799,,7.4,2465,1994-10-19
1607,Mallrats,Mallrats,en,"Both dumped by their girlfriends, two best friends seek refuge in the local mall. Eventually, they decide to try and win back their significant others and take care of their respective nemeses.","[{""id"":10749,""name"":""Romance""},{""id"":35,""name"":""Comedy""}]",Released,14.136,,6.8,1222,1995-10-20
1608,"Jay and Silent Bob Strike Back","Jay and Silent Bob Strike Back",en,"When Jay and Silent Bob learn that their comic-book alter egos, Bluntman and Chronic, have been sold to Hollywood as part of a big-screen movie that leaves them out of any royalties, the pair travels to Tinseltown to sabotage the production.","[{""id"":35,""name"":""Comedy""}]",Released,13.822,,6.4,1527,2001-08-22
1609,"Clerks II","Clerks II",en,"A calamity at Dante and Randall's shops sends them looking for new horizons - but they ultimately settle at Mooby's, a fictional Disney-McDonald's-style fast-food empire.","[{""id"":35,""name"":""Comedy""}]",Released,12.751,,6.9,1320,2006-07-21
1610,"Kein Mann für Camp Detrick","Kein Mann für Camp Detrick",de,,"[{""id"":80,""name"":""Crime""}]",Released,0.884,,0,0,1970-10-03
1611,Kafka,Kafka,en,"Kafka, an insurance worker gets embroiled in an underground group after a co-worker is murdered. The underground group is responsible for bombings all over town, attempting to thwart a secret organization that controls the major events in society. He eventually penetrates the secret organization and must confront them.","[{""id"":18,""name"":""Drama""},{""id"":9648,""name"":""Mystery""},{""id"":878,""name"":""Science Fiction""}]",Released,6.507,,6.389,135,1991-11-15
1612,"The Film Narrator","Der Kinoerzähler",de,"Germany in the Thirties. A movie teller realizes that his profession is not longer needed. Silent movies are not produced any longer. Telling stories is the only thing the man was ever good in, so he does not know what to do now. As political circumstances are changing dramatically these days in Germany, he gets new hope that things will again be going better for him...","[{""id"":18,""name"":""Drama""}]",Released,2.677,,0,0,1993-11-25
1613,"The Light",L'Équipier,fr,"Camille arrives in Ouessant, the island of her birth off the Brittany coast, to sell the family home. She spends a last night in the house during which she discovers a secret. In 1963 a man came to work with her father, who was the Jument lighthouse operator. He only stayed two months, but his presence proved to be a disturbing catalyst.","[{""id"":18,""name"":""Drama""}]",Released,3.242,,6.9,36,2004-11-03
1614,"Space Jam","Space Jam",en,"With their freedom on the line, the Looney Tunes seek the help of NBA superstar Michael Jordon to win a basketball game against a team of moronic aliens.","[{""id"":10751,""name"":""Family""},{""id"":16,""name"":""Animation""},{""id"":35,""name"":""Comedy""},{""id"":878,""name"":""Science Fiction""},{""id"":12,""name"":""Adventure""},{""id"":14,""name"":""Fantasy""}]",Released,27.431,,6.82,5969,1996-11-15
1615,Collin,Collin,de,,"[{""id"":18,""name"":""Drama""}]",Released,1.901,,10,1,1981-12-06
1616,Avalon,Avalon,en,"A Polish-Jewish family comes to the U.S. at the beginning of the twentieth century. There, the family and their children try to make themselves a better future in the so-called promised land.","[{""id"":18,""name"":""Drama""}]",Released,7.123,,6.6,82,1990-10-05
